date	size"/"remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ("servermsg")	MIME	Etag|Date	URL	localfile	(from URL)
23:19:03	306310/306310	---MCZ	200	added ("OK")	text/html	etag:W/%227a9afd813ff047609963e3f1c4664d26%22	https://chicken-run.myharavan.com/collections/crunchy	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/collections/crunchy.html	(from https://chicken-run.myharavan.com/)
23:19:03	96295/96295	---MCZ	200	added ("OK")	application/javascript	etag:W/%22abed2a9134f90d590707a6fa9a586099%22	http://theme.hstatic.net/200000291373/1000688425/14/jquery.min.1.11.0.js?v=124	D:/PetProject/TemplateWebsite/theme.hstatic.net/200000291373/1000688425/14/jquery.min.1.11.07944.js	(from https://chicken-run.myharavan.com/)
23:19:04	288746/288746	---MCZ	200	added ("OK")	text/html	etag:W/%228491f5d5940549c2be6bd40d02b05e03%22	https://chicken-run.myharavan.com/blogs/news	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/blogs/news.html	(from https://chicken-run.myharavan.com/)
23:19:04	281279/281279	---MCZ	200	added ("OK")	text/html	etag:W/%22401a3f70955b4847b69eb093f6b53449%22	https://chicken-run.myharavan.com/pages/about-us	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/pages/about-us.html	(from https://chicken-run.myharavan.com/)
23:19:04	276835/276835	---MCZ	200	added ("OK")	text/html	etag:W/%2230ffed1232a94f64b591a68a6f410692%22	https://chicken-run.myharavan.com/pages/lien-he	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/pages/lien-he.html	(from https://chicken-run.myharavan.com/)
23:19:04	884/884	---MC-	200	added ("OK")	text/javascript	date:Wed,%2022%20May%202024%2016:19:09%20GMT	https://www.google.com/recaptcha/api.js?render=6LdD18MUAAAAAHqKl3Avv8W-tREL6LangePxQLM-	D:/PetProject/TemplateWebsite/www.google.com/recaptcha/api4d7a.js	(from https://chicken-run.myharavan.com/)
23:19:04	336359/336359	---MCZ	200	added ("OK")	text/html	etag:W/%2295cc07a5862448fea89a3205af77811b%22	https://chicken-run.myharavan.com/?view=order	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/index150b.html	(from https://chicken-run.myharavan.com/)
23:19:04	276529/276529	---MCZ	200	added ("OK")	text/html	date:Wed,%2022%20May%202024%2016:19:10%20GMT	https://chicken-run.myharavan.com/account/register	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/account/register.html	(from https://chicken-run.myharavan.com/)
23:19:04	0/0	---M--	302	error ("Found")	text/html	date:Wed,%2022%20May%202024%2016:19:10%20GMT	https://chicken-run.myharavan.com/checkout	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/checkout	(from https://chicken-run.myharavan.com/)
23:19:11	280438/280438	---MCZ	200	added ("OK")	text/html	date:Wed,%2022%20May%202024%2016:19:10%20GMT	https://chicken-run.myharavan.com/cart	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/cart.html	(from https://chicken-run.myharavan.com/)
23:19:13	307321/307321	---MCZ	200	added ("OK")	text/html	etag:W/%2203e32505a42c4264bac16a72d6797e11%22	https://chicken-run.myharavan.com/collections/all	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/collections/all.html	(from https://chicken-run.myharavan.com/)
23:19:17	76844/76844	---M--	200	added ("OK")	image/jpeg	etag:%228d0429a8f231cdc3d7f1e4f1087d80c6%22	http://theme.hstatic.net/200000291373/1000688425/14/slide_1_mb.jpg?v=124	D:/PetProject/TemplateWebsite/theme.hstatic.net/200000291373/1000688425/14/slide_1_mb7944.jpg	(from https://chicken-run.myharavan.com/)
23:19:24	82797/82797	---M--	200	added ("OK")	image/jpeg	etag:%225107b71cff6d9002f5f3a568800c55b4%22	http://theme.hstatic.net/200000291373/1000688425/14/slide_2_mb.jpg?v=124	D:/PetProject/TemplateWebsite/theme.hstatic.net/200000291373/1000688425/14/slide_2_mb7944.jpg	(from https://chicken-run.myharavan.com/)
23:19:32	153567/153567	---M--	200	added ("OK")	image/jpeg	etag:%22d63eb40489d99f6585f68726d40d065b%22	http://theme.hstatic.net/200000291373/1000688425/14/slide_1.jpg?v=124	D:/PetProject/TemplateWebsite/theme.hstatic.net/200000291373/1000688425/14/slide_17944.jpg	(from https://chicken-run.myharavan.com/)
23:19:33	4070/4070	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:45:00%20GMT	http://product.hstatic.net/200000291373/product/product8_c15ff3d0-2abf-4e20-9925-6c59496e58c4_58f2da4951e845eeab5c1eb74863c718_medium.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product8_c15ff3d0-2abf-4e20-9925-6c59496e58c4_58f2da4951e845eeab5c1eb74863c718_medium.jpg	(from https://chicken-run.myharavan.com/)
23:19:35	106271/106271	---M--	200	added ("OK")	image/jpeg	etag:%229f1468da792782868a0f57a4eab335fa%22	http://theme.hstatic.net/200000291373/1000688425/14/slide_3_mb.jpg?v=124	D:/PetProject/TemplateWebsite/theme.hstatic.net/200000291373/1000688425/14/slide_3_mb7944.jpg	(from https://chicken-run.myharavan.com/)
23:19:35	12238/12238	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:45:01%20GMT	http://product.hstatic.net/200000291373/product/product8_c15ff3d0-2abf-4e20-9925-6c59496e58c4_58f2da4951e845eeab5c1eb74863c718_large.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product8_c15ff3d0-2abf-4e20-9925-6c59496e58c4_58f2da4951e845eeab5c1eb74863c718_large.jpg	(from https://chicken-run.myharavan.com/)
23:19:39	18118/18118	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:45:04%20GMT	http://product.hstatic.net/200000291373/product/product8_c15ff3d0-2abf-4e20-9925-6c59496e58c4_58f2da4951e845eeab5c1eb74863c718_grande.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product8_c15ff3d0-2abf-4e20-9925-6c59496e58c4_58f2da4951e845eeab5c1eb74863c718_grande.jpg	(from https://chicken-run.myharavan.com/)
23:19:40	3648/3648	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:45:05%20GMT	http://product.hstatic.net/200000291373/product/product5_6c122cb7f3b249318cfd95d4d4bb83e5_medium.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product5_6c122cb7f3b249318cfd95d4d4bb83e5_medium.jpg	(from https://chicken-run.myharavan.com/)
23:19:40	310844/310844	---MCZ	200	added ("OK")	text/html	etag:W/%22bcb245dea2364dc08bb15e3d7e35c8d7%22	https://chicken-run.myharavan.com/products/ga-ran-gion-truyen-thong	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/products/ga-ran-gion-truyen-thong.html	(from https://chicken-run.myharavan.com/)
23:19:43	11258/11258	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:45:07%20GMT	http://product.hstatic.net/200000291373/product/product5_6c122cb7f3b249318cfd95d4d4bb83e5_large.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product5_6c122cb7f3b249318cfd95d4d4bb83e5_large.jpg	(from https://chicken-run.myharavan.com/)
23:19:44	186645/186645	---M--	200	added ("OK")	image/jpeg	etag:%22e9979382fb83e3cb49aad9a0eb317268%22	http://theme.hstatic.net/200000291373/1000688425/14/slide_2.jpg?v=124	D:/PetProject/TemplateWebsite/theme.hstatic.net/200000291373/1000688425/14/slide_27944.jpg	(from https://chicken-run.myharavan.com/)
23:19:44	17036/17036	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:45:09%20GMT	http://product.hstatic.net/200000291373/product/product5_6c122cb7f3b249318cfd95d4d4bb83e5_grande.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product5_6c122cb7f3b249318cfd95d4d4bb83e5_grande.jpg	(from https://chicken-run.myharavan.com/)
23:19:46	3990/3990	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:45:10%20GMT	http://product.hstatic.net/200000291373/product/product12_28bfacfe528e4128a192c673ad83a99e_medium.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product12_28bfacfe528e4128a192c673ad83a99e_medium.jpg	(from https://chicken-run.myharavan.com/)
23:19:47	310027/310027	---MCZ	200	added ("OK")	text/html	etag:W/%224d46507f14f749df9c05ef27c89ebdcf%22	https://chicken-run.myharavan.com/products/ga-pho-mai-tuyet	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/products/ga-pho-mai-tuyet.html	(from https://chicken-run.myharavan.com/)
23:19:47	12364/12364	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:45:12%20GMT	http://product.hstatic.net/200000291373/product/product12_28bfacfe528e4128a192c673ad83a99e_large.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product12_28bfacfe528e4128a192c673ad83a99e_large.jpg	(from https://chicken-run.myharavan.com/)
23:19:49	4154/4154	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:46:55%20GMT	http://product.hstatic.net/200000291373/product/product11_677bed4c-50d3-4938-ad68-b6780f920dfc_b9f53552fd3c45d0b5ebeceda5cbd25f_medium.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product11_677bed4c-50d3-4938-ad68-b6780f920dfc_b9f53552fd3c45d0b5ebeceda5cbd25f_medium.jpg	(from https://chicken-run.myharavan.com/)
23:19:51	310328/310328	---MCZ	200	added ("OK")	text/html	etag:W/%22743584cd8f6f4feeb20899819b64cdf6%22	https://chicken-run.myharavan.com/products/ga-ran-bulgogi	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/products/ga-ran-bulgogi.html	(from https://chicken-run.myharavan.com/)
23:19:52	12667/12667	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:46:56%20GMT	http://product.hstatic.net/200000291373/product/product11_677bed4c-50d3-4938-ad68-b6780f920dfc_b9f53552fd3c45d0b5ebeceda5cbd25f_large.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product11_677bed4c-50d3-4938-ad68-b6780f920dfc_b9f53552fd3c45d0b5ebeceda5cbd25f_large.jpg	(from https://chicken-run.myharavan.com/)
23:19:52	20949/20949	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2016:19:52%20GMT	http://product.hstatic.net/200000291373/product/product12_28bfacfe528e4128a192c673ad83a99e_grande.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product12_28bfacfe528e4128a192c673ad83a99e_grande.jpg	(from https://chicken-run.myharavan.com/)
23:19:54	4259/4259	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:46:58%20GMT	http://product.hstatic.net/200000291373/product/product31_0f63e89e-cacc-4e58-a1c9-ed0f994f9e05_198c1327dce64d0e9ebafa8a70ea28c3_medium.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product31_0f63e89e-cacc-4e58-a1c9-ed0f994f9e05_198c1327dce64d0e9ebafa8a70ea28c3_medium.jpg	(from https://chicken-run.myharavan.com/)
23:19:56	310157/310157	---MCZ	200	added ("OK")	text/html	etag:W/%22c1a0b5ba5c014b93abe63971a349e9bf%22	https://chicken-run.myharavan.com/products/ga-ran-cay	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/products/ga-ran-cay.html	(from https://chicken-run.myharavan.com/)
23:19:56	19022/19022	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:46:57%20GMT	http://product.hstatic.net/200000291373/product/product11_677bed4c-50d3-4938-ad68-b6780f920dfc_b9f53552fd3c45d0b5ebeceda5cbd25f_grande.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product11_677bed4c-50d3-4938-ad68-b6780f920dfc_b9f53552fd3c45d0b5ebeceda5cbd25f_grande.jpg	(from https://chicken-run.myharavan.com/)
23:19:56	13760/13760	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:46:59%20GMT	http://product.hstatic.net/200000291373/product/product31_0f63e89e-cacc-4e58-a1c9-ed0f994f9e05_198c1327dce64d0e9ebafa8a70ea28c3_large.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product31_0f63e89e-cacc-4e58-a1c9-ed0f994f9e05_198c1327dce64d0e9ebafa8a70ea28c3_large.jpg	(from https://chicken-run.myharavan.com/)
23:19:59	4224/4224	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:47:02%20GMT	http://product.hstatic.net/200000291373/product/product19_500b2d6209c54de993240f50ab785703_medium.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product19_500b2d6209c54de993240f50ab785703_medium.jpg	(from https://chicken-run.myharavan.com/)
23:20:01	306343/306343	---MCZ	200	added ("OK")	text/html	etag:W/%2220e851f24d8041c696dfe63a667c24a4%22	https://chicken-run.myharavan.com/products/ga-chien-gion-sot-trung-muoi	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/products/ga-chien-gion-sot-trung-muoi.html	(from https://chicken-run.myharavan.com/)
23:20:01	20426/20426	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:47:01%20GMT	http://product.hstatic.net/200000291373/product/product31_0f63e89e-cacc-4e58-a1c9-ed0f994f9e05_198c1327dce64d0e9ebafa8a70ea28c3_grande.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product31_0f63e89e-cacc-4e58-a1c9-ed0f994f9e05_198c1327dce64d0e9ebafa8a70ea28c3_grande.jpg	(from https://chicken-run.myharavan.com/)
23:20:01	12338/12338	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:47:03%20GMT	http://product.hstatic.net/200000291373/product/product19_500b2d6209c54de993240f50ab785703_large.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product19_500b2d6209c54de993240f50ab785703_large.jpg	(from https://chicken-run.myharavan.com/)
23:20:04	218699/218699	---M--	200	added ("OK")	image/jpeg	etag:%2258698db2b1da94e06fa44d53f8ea9752%22	http://theme.hstatic.net/200000291373/1000688425/14/slide_3.jpg?v=124	D:/PetProject/TemplateWebsite/theme.hstatic.net/200000291373/1000688425/14/slide_37944.jpg	(from https://chicken-run.myharavan.com/)
23:20:04	3119/3119	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:47:06%20GMT	http://product.hstatic.net/200000291373/product/product21_f8235494fdf949a995bd9bb0ff3861e2_medium.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product21_f8235494fdf949a995bd9bb0ff3861e2_medium.jpg	(from https://chicken-run.myharavan.com/)
23:20:05	18024/18024	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:47:04%20GMT	http://product.hstatic.net/200000291373/product/product19_500b2d6209c54de993240f50ab785703_grande.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product19_500b2d6209c54de993240f50ab785703_grande.jpg	(from https://chicken-run.myharavan.com/)
23:20:05	306146/306146	---MCZ	200	added ("OK")	text/html	etag:W/%2209622210faab4f078f50126fe6dc0228%22	https://chicken-run.myharavan.com/products/ga-chien-gion-tam-nuoc-mam	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/products/ga-chien-gion-tam-nuoc-mam.html	(from https://chicken-run.myharavan.com/)
23:20:08	5422/5422	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:47:09%20GMT	http://product.hstatic.net/200000291373/product/product6_3f9dbc6d-9e03-4576-985c-3f6e731006d7_1b08b24f13de4d7da62d7f53d63dfd54_medium.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product6_3f9dbc6d-9e03-4576-985c-3f6e731006d7_1b08b24f13de4d7da62d7f53d63dfd54_medium.jpg	(from https://chicken-run.myharavan.com/)
23:20:08	8394/8394	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:47:07%20GMT	http://product.hstatic.net/200000291373/product/product21_f8235494fdf949a995bd9bb0ff3861e2_large.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product21_f8235494fdf949a995bd9bb0ff3861e2_large.jpg	(from https://chicken-run.myharavan.com/)
23:20:08	12128/12128	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:47:08%20GMT	http://product.hstatic.net/200000291373/product/product21_f8235494fdf949a995bd9bb0ff3861e2_grande.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product21_f8235494fdf949a995bd9bb0ff3861e2_grande.jpg	(from https://chicken-run.myharavan.com/)
23:20:08	305974/305974	---MCZ	200	added ("OK")	text/html	etag:W/%22088646da118f4266abc3878be06a611a%22	https://chicken-run.myharavan.com/products/ga-vien-duc-pho-mai	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/products/ga-vien-duc-pho-mai.html	(from https://chicken-run.myharavan.com/)
23:20:11	4208/4208	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:47:13%20GMT	http://product.hstatic.net/200000291373/product/product37_a99783f3-6b62-4a11-83ca-48819c75425a_38eae06411694b35a99b4eeb34d190b6_medium.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product37_a99783f3-6b62-4a11-83ca-48819c75425a_38eae06411694b35a99b4eeb34d190b6_medium.jpg	(from https://chicken-run.myharavan.com/)
23:20:11	17215/17215	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:47:10%20GMT	http://product.hstatic.net/200000291373/product/product6_3f9dbc6d-9e03-4576-985c-3f6e731006d7_1b08b24f13de4d7da62d7f53d63dfd54_large.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product6_3f9dbc6d-9e03-4576-985c-3f6e731006d7_1b08b24f13de4d7da62d7f53d63dfd54_large.jpg	(from https://chicken-run.myharavan.com/)
23:20:12	305507/305507	---MCZ	200	added ("OK")	text/html	etag:W/%22437240d5fafa4aa6a12d8f82e5c5908c%22	https://chicken-run.myharavan.com/products/canh-ga-chien-gion-sot-ngu-vi-huong	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/products/canh-ga-chien-gion-sot-ngu-vi-huong.html	(from https://chicken-run.myharavan.com/)
23:20:14	12525/12525	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:47:16%20GMT	http://product.hstatic.net/200000291373/product/product37_a99783f3-6b62-4a11-83ca-48819c75425a_38eae06411694b35a99b4eeb34d190b6_large.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product37_a99783f3-6b62-4a11-83ca-48819c75425a_38eae06411694b35a99b4eeb34d190b6_large.jpg	(from https://chicken-run.myharavan.com/)
23:20:15	3511/3511	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:47:20%20GMT	http://product.hstatic.net/200000291373/product/product9_7e910ac27bac41769f18954bf6de79fc_medium.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product9_7e910ac27bac41769f18954bf6de79fc_medium.jpg	(from https://chicken-run.myharavan.com/)
23:20:16	25785/25785	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:47:11%20GMT	http://product.hstatic.net/200000291373/product/product6_3f9dbc6d-9e03-4576-985c-3f6e731006d7_1b08b24f13de4d7da62d7f53d63dfd54_grande.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product6_3f9dbc6d-9e03-4576-985c-3f6e731006d7_1b08b24f13de4d7da62d7f53d63dfd54_grande.jpg	(from https://chicken-run.myharavan.com/)
23:20:16	306318/306318	---MCZ	200	added ("OK")	text/html	etag:W/%22e5666b2e643f4b6c8629ef2eb28a037a%22	https://chicken-run.myharavan.com/products/ga-chien-gion-cay-han-quoc	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/products/ga-chien-gion-cay-han-quoc.html	(from https://chicken-run.myharavan.com/)
23:20:16	18605/18605	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:47:18%20GMT	http://product.hstatic.net/200000291373/product/product37_a99783f3-6b62-4a11-83ca-48819c75425a_38eae06411694b35a99b4eeb34d190b6_grande.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product37_a99783f3-6b62-4a11-83ca-48819c75425a_38eae06411694b35a99b4eeb34d190b6_grande.jpg	(from https://chicken-run.myharavan.com/)
23:20:18	10082/10082	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:47:20%20GMT	http://product.hstatic.net/200000291373/product/product9_7e910ac27bac41769f18954bf6de79fc_large.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product9_7e910ac27bac41769f18954bf6de79fc_large.jpg	(from https://chicken-run.myharavan.com/)
23:20:19	5977/5977	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:47:23%20GMT	http://product.hstatic.net/200000291373/product/product39_bdb6d058b4684784b53339edb2bfb234_medium.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product39_bdb6d058b4684784b53339edb2bfb234_medium.jpg	(from https://chicken-run.myharavan.com/)
23:20:20	305965/305965	---MCZ	200	added ("OK")	text/html	etag:W/%22858794b51e65438ba38ac727db1c9c5c%22	https://chicken-run.myharavan.com/products/ga-gion-khong-xuong	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/products/ga-gion-khong-xuong.html	(from https://chicken-run.myharavan.com/)
23:20:20	14721/14721	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:47:21%20GMT	http://product.hstatic.net/200000291373/product/product9_7e910ac27bac41769f18954bf6de79fc_grande.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product9_7e910ac27bac41769f18954bf6de79fc_grande.jpg	(from https://chicken-run.myharavan.com/)
23:20:23	320388/320388	---MCZ	200	added ("OK")	text/html	etag:W/%22972385790f674c21b8997d2ec9a81f4b%22	https://chicken-run.myharavan.com/products/combo-ga-chien-gion-khoai-tay-chien	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/products/combo-ga-chien-gion-khoai-tay-chien.html	(from https://chicken-run.myharavan.com/)
23:20:23	5228/5228	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:47:31%20GMT	http://product.hstatic.net/200000291373/product/product34_cae07b2443594f72839eb3c628743c2f_medium.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product34_cae07b2443594f72839eb3c628743c2f_medium.jpg	(from https://chicken-run.myharavan.com/)
23:20:23	18115/18115	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:47:24%20GMT	http://product.hstatic.net/200000291373/product/product39_bdb6d058b4684784b53339edb2bfb234_large.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product39_bdb6d058b4684784b53339edb2bfb234_large.jpg	(from https://chicken-run.myharavan.com/)
23:20:26	26843/26843	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:47:26%20GMT	http://product.hstatic.net/200000291373/product/product39_bdb6d058b4684784b53339edb2bfb234_grande.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product39_bdb6d058b4684784b53339edb2bfb234_grande.jpg	(from https://chicken-run.myharavan.com/)
23:20:27	16582/16582	---M--	200	added ("OK")	image/jpeg	date:Wed,%2022%20May%202024%2010:47:32%20GMT	http://product.hstatic.net/200000291373/product/product34_cae07b2443594f72839eb3c628743c2f_large.jpg	D:/PetProject/TemplateWebsite/product.hstatic.net/200000291373/product/product34_cae07b2443594f72839eb3c628743c2f_large.jpg	(from https://chicken-run.myharavan.com/)
